Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-006 36,156,561330,2.24,15.1673,2.3,1.20975,4.6,0.133137,4.0,0.865,805.7,30.0,805.1,25.4,803.2,48.2,805.7,30.0,100.3,100.1
MR24-006 37,114,62859,0.86,16.3212,3.3,0.71932,4.9,0.085185,3.6,0.734,527.0,18.0,550.3,20.6,647.8,71.0,527.0,18.0,81.4,95.8
MR24-006 38,126,130331,3.25,10.8491,1.6,3.38279,3.3,0.266295,2.9,0.876,1522.0,38.7,1500.4,25.6,1470.1,29.9,1470.1,29.9,103.5,101.4
MR24-006 40,91,69689,3.9,16.6285,2.6,0.85679,4.9,0.103377,4.2,0.851,634.2,25.1,628.4,22.9,607.5,55.6,634.2,25.1,104.4,100.9
MR24-006 41,117,59258,1.53,17.1792,2.9,0.73491,5.1,0.091608,4.2,0.828,565.0,22.8,559.4,21.9,536.7,62.6,565.0,22.8,105.3,101.0
MR24-006 43,214,279703,5.68,8.211,1.3,5.33066,4.0,0.317593,3.8,0.945,1778.0,58.9,1873.8,34.3,1981.8,23.5,1981.8,23.5,89.7,94.9
MR24-006 44,30,379590,1.89,8.0923,2.3,6.42758,5.7,0.377409,5.2,0.914,2064.2,91.9,2036.0,50.0,2007.7,40.9,2007.7,40.9,102.8,101.4
MR24-006 45,27,78347,1.25,9.039,2.8,4.87617,6.8,0.31981,6.2,0.91,1788.8,96.4,1798.1,57.1,1809.0,51.0,1809.0,51.0,98.9,99.5
MR24-006 46,163,1785975,2.5,9.3063,1.6,4.56672,4.6,0.308374,4.3,0.939,1732.7,65.4,1743.2,38.2,1755.8,28.9,1755.8,28.9,98.7,99.4
MR24-006 47,154,150645,2.52,16.8334,2.6,0.78475,4.0,0.095851,3.1,0.762,590.0,17.4,588.2,18.1,581.0,56.9,590.0,17.4,101.5,100.3
MR24-006 48,371,870533,175.95,7.4042,1.9,7.24668,4.0,0.389326,3.5,0.879,2119.7,64.0,2142.3,36.0,2164.0,33.5,2164.0,33.5,98.0,98.9
MR24-006 49,224,188319,1.77,16.3627,2.0,0.91847,3.1,0.109047,2.4,0.772,667.2,15.1,661.6,15.0,642.3,42.2,667.2,15.1,103.9,100.8
MR24-006 50,178,164096,3.51,16.1777,2.3,0.83428,4.3,0.097932,3.6,0.848,602.3,20.9,616.0,19.8,666.7,48.5,602.3,20.9,90.3,97.8
MR24-006 51,180,99434,1.36,16.6235,2.0,0.76396,6.0,0.092148,5.7,0.942,568.2,30.8,576.3,26.4,608.2,43.7,568.2,30.8,93.4,98.6
MR24-006 53,164,662302,4.08,11.4573,2.0,2.42652,3.7,0.201726,3.0,0.832,1184.6,32.9,1250.5,26.3,1365.8,39.1,1365.8,39.1,86.7,94.7
MR24-006 54,37,119212,1.87,7.7686,2.2,6.81695,5.1,0.38426,4.6,0.901,2096.2,81.6,2087.9,44.9,2079.8,38.7,2079.8,38.7,100.8,100.4
MR24-006 55,220,194372,3.35,16.5401,1.6,0.78978,3.6,0.094785,3.2,0.895,583.8,17.8,591.0,16.0,619.0,34.4,583.8,17.8,94.3,98.8
MR24-006 57,204,121204,1.59,16.8771,2.3,0.79623,3.8,0.097506,3.0,0.794,599.8,17.2,594.7,17.0,575.4,50.0,599.8,17.2,104.2,100.9
MR24-006 58,291,309469,2.15,4.8316,2.1,16.1106,3.4,0.564798,2.6,0.783,2886.4,61.6,2883.4,32.4,2881.2,34.2,2881.2,34.2,100.2,100.1
MR24-006 59,121,107855,5.04,12.9619,3.7,1.72632,7.8,0.162362,6.8,0.876,969.9,61.4,1018.4,50.1,1124.1,74.7,1124.1,74.7,86.3,95.2
MR24-006 60,319,194660,0.92,16.4775,2.3,0.78916,4.7,0.094352,4.1,0.874,581.2,22.6,590.7,20.9,627.2,48.8,581.2,22.6,92.7,98.4
MR24-006 61,105,207953,8.13,16.742,4.0,0.78345,5.0,0.095172,3.0,0.607,586.1,17.1,587.4,22.4,592.9,86.5,586.1,17.1,98.9,99.8
MR24-006 64,189,172131,1.72,16.086,2.3,0.89238,4.5,0.104158,3.9,0.861,638.7,23.6,647.6,21.6,678.8,49.0,638.7,23.6,94.1,98.6
MR24-006 66,216,1423585,3.61,16.6798,2.4,0.75482,6.3,0.091354,5.8,0.923,563.5,31.4,571.0,27.6,600.9,52.4,563.5,31.4,93.8,98.7
MR24-006 67,450,177277,2.29,15.7869,2.3,0.88135,4.0,0.100958,3.3,0.812,620.0,19.3,641.7,19.1,718.8,49.8,620.0,19.3,86.3,96.6
MR24-006 68,149,122314,3.27,13.276,1.7,1.78754,4.4,0.172194,4.1,0.928,1024.2,38.9,1040.9,28.8,1076.3,33.1,1076.3,33.1,95.2,98.4
MR24-006 69,121,1440080,4.18,8.0636,1.9,6.12491,3.6,0.358363,3.0,0.851,1974.4,51.5,1993.8,31.1,2014.0,33.1,2014.0,33.1,98.0,99.0
