Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-006 265,175,519754,1.91,6.851,1.4,8.32451,3.3,0.413813,2.9,0.904,2232.3,55.5,2267.0,29.5,2298.4,23.9,2298.4,23.9,97.1,98.5
MR24-006 267,157,153842,2.86,16.5663,2.6,0.85482,4.7,0.102753,4.0,0.838,630.5,23.9,627.3,22.2,615.6,55.9,630.5,23.9,102.4,100.5
MR24-006 268,174,396596,3.05,6.4044,2.1,9.7446,4.4,0.452829,3.8,0.874,2407.8,76.7,2410.9,40.2,2413.5,36.0,2413.5,36.0,99.8,99.9
MR24-006 270,481,921433,1.82,8.9704,1.8,5.01903,2.8,0.326681,2.2,0.771,1822.3,34.7,1822.5,24.0,1822.8,32.7,1822.8,32.7,100.0,100.0
MR24-006 271,81,32717,1.03,14.4621,3.5,1.24454,5.0,0.130597,3.6,0.723,791.3,27.2,820.9,28.4,902.2,71.9,791.3,27.2,87.7,96.4
MR24-006 272,335,163710,6.68,12.4775,1.5,2.22415,3.0,0.201365,2.7,0.876,1182.7,28.9,1188.7,21.4,1199.6,28.9,1199.6,28.9,98.6,99.5
MR24-006 275,190,382708,4.01,7.0845,1.9,7.55627,4.5,0.388429,4.1,0.902,2115.5,73.1,2179.7,40.3,2240.6,33.6,2240.6,33.6,94.4,97.1
MR24-006 276,207,2783732,2.09,8.2669,1.9,5.73441,3.6,0.343972,3.1,0.85,1905.7,50.9,1936.6,31.4,1969.7,34.1,1969.7,34.1,96.8,98.4
MR24-006 277,269,107482,4.19,15.7489,2.1,0.85215,4.4,0.097378,3.9,0.879,599.0,22.3,625.8,20.8,723.9,45.0,599.0,22.3,82.7,95.7
MR24-006 278,43,383265,1.26,7.8639,2.0,6.73982,5.7,0.384572,5.3,0.935,2097.6,95.1,2077.9,50.2,2058.3,35.5,2058.3,35.5,101.9,100.9
MR24-006 279,384,160305,2.77,16.1279,1.7,0.86725,3.1,0.101488,2.6,0.842,623.1,15.5,634.1,14.6,673.3,35.8,623.1,15.5,92.5,98.3
MR24-006 280,263,46183,6.64,11.4634,3.1,2.50967,4.0,0.208749,2.5,0.624,1222.1,27.9,1274.8,29.2,1364.8,60.5,1364.8,60.5,89.5,95.9
MR24-006 282,52,2500,1.03,6.694,6.3,7.24814,8.5,0.352052,5.8,0.681,1944.4,97.6,2142.4,76.3,2338.1,107.1,2338.1,107.1,83.2,90.8
MR24-006 286,148,49836,1.35,16.4093,2.6,0.82309,4.3,0.098001,3.4,0.794,602.7,19.5,609.8,19.6,636.2,55.9,602.7,19.5,94.7,98.8
MR24-006 287,445,1539912,5.39,8.2811,1.3,5.45484,4.3,0.327764,4.0,0.95,1827.5,64.4,1893.5,36.5,1966.6,23.6,1966.6,23.6,92.9,96.5
MR24-006 288,93,54969,0.97,16.8266,2.4,0.79689,4.4,0.097294,3.7,0.842,598.5,21.4,595.1,20.0,581.9,52.0,598.5,21.4,102.9,100.6
MR24-006 289,78,21259,2.05,16.9259,3.4,0.75746,5.2,0.093027,3.9,0.756,573.4,21.6,572.5,22.8,569.1,74.1,573.4,21.6,100.8,100.2
MR24-006 290,81,88612,6.67,7.6875,1.5,6.69473,5.3,0.373432,5.1,0.957,2045.5,89.6,2071.9,47.2,2098.3,27.1,2098.3,27.1,97.5,98.7
MR24-006 291,326,55195,1.81,13.2965,8.6,0.97848,8.9,0.094402,2.4,0.272,581.5,13.5,692.8,44.9,1073.2,173.0,581.5,13.5,54.2,83.9
MR24-006 292,59,266566,1.84,7.8494,1.6,6.62385,4.2,0.377262,3.9,0.928,2063.5,69.0,2062.5,37.1,2061.6,27.6,2061.6,27.6,100.1,100.0
MR24-006 293,9,94633,1.85,9.0042,3.6,4.81587,9.2,0.314641,8.5,0.921,1763.5,130.4,1787.7,77.2,1816.0,64.8,1816.0,64.8,97.1,98.6
MR24-006 295,185,103183,3.39,16.517,2.5,0.78842,4.5,0.09449,3.8,0.827,582.0,20.9,590.3,20.3,622.1,54.9,582.0,20.9,93.6,98.6
MR24-006 296,52,808435,0.94,8.673,2.1,5.27443,5.3,0.331925,4.9,0.922,1847.7,79.1,1864.7,45.6,1883.8,37.2,1883.8,37.2,98.1,99.1
MR24-006 297,80,189791,1.74,7.9558,1.7,6.15586,5.6,0.355357,5.3,0.95,1960.1,89.1,1998.2,48.5,2037.8,30.7,2037.8,30.7,96.2,98.1
MR24-006 298,182,484444,1.98,7.9384,1.5,6.33787,5.1,0.365064,4.9,0.957,2006.1,84.4,2023.7,44.9,2041.7,26.3,2041.7,26.3,98.3,99.1
MR24-006 299,200,513468,2.88,7.9036,1.8,6.35762,3.5,0.364598,3.0,0.858,2003.9,51.2,2026.4,30.4,2049.4,31.5,2049.4,31.5,97.8,98.9
MR24-006 300,28,2500,1.48,9.2622,22.7,1.42425,23.8,0.095718,7.0,0.295,589.3,39.5,899.1,142.1,1764.5,416.7,1764.5,416.7,33.4,65.5
MR24-006 301,21,17553,1.44,15.1521,3.6,1.13017,8.7,0.124255,7.9,0.909,755.0,56.5,767.8,47.0,805.3,76.3,755.0,56.5,93.8,98.3
MR24-006 302,63,350287,3.46,7.9812,1.5,6.37176,5.1,0.368995,4.9,0.954,2024.7,84.4,2028.4,44.7,2032.2,26.9,2032.2,26.9,99.6,99.8
MR24-006 305,132,77482,2.41,19.5602,4.7,0.31056,7.4,0.044078,5.7,0.771,278.1,15.6,274.6,17.9,245.4,108.8,278.1,15.6,113.3,101.3
MR24-006 306,59,288368,1.4,7.9226,2.1,6.36396,6.0,0.365838,5.6,0.937,2009.8,97.1,2027.3,52.7,2045.2,37.0,2045.2,37.0,98.3,99.1
MR24-006 307,32,47709,2.44,7.7578,2.8,7.03152,7.6,0.395807,7.1,0.931,2149.7,129.6,2115.4,67.7,2082.2,48.8,2082.2,48.8,103.2,101.6
MR24-006 308,86,58999,6.56,16.1178,3.4,0.82212,7.5,0.096146,6.7,0.889,591.8,37.8,609.2,34.4,674.6,73.5,591.8,37.8,87.7,97.1
MR24-006 309,103,268544,1.63,7.8562,1.6,6.65526,4.5,0.37938,4.2,0.937,2073.4,75.3,2066.7,40.0,2060.0,28.0,2060.0,28.0,100.7,100.3
MR24-006 310,122,512709,2.63,16.7286,3.0,0.76847,5.6,0.093278,4.8,0.851,574.9,26.3,578.9,24.8,594.6,64.0,574.9,26.3,96.7,99.3
MR24-006 312,91,120356,7.86,16.5714,3.3,0.82288,4.8,0.098945,3.5,0.725,608.2,20.2,609.7,22.0,615.0,71.3,608.2,20.2,98.9,99.8
MR24-006 313,43,69855,3.79,7.8,1.7,6.66168,5.4,0.377029,5.1,0.951,2062.4,90.8,2067.6,47.8,2072.7,29.4,2072.7,29.4,99.5,99.7
MR24-006 314,257,97064,1.65,17.0673,2.5,0.71709,4.0,0.088804,3.2,0.783,548.5,16.6,548.9,17.1,551.0,54.9,548.5,16.6,99.5,99.9
,,,,,,,,,,,,,,,,,,,,
Rejected Analyses,,,,,,,,,,,,,,,,,,,,
MR24-006 14,245.0,2500.0,2.56,5.7624,44.9,3.52218,45.2,0.147269,4.6,0.103,885.6,38.4,1532.2,361.0,2591.3,760.3,2591.3,760.3,34.2,57.8
MR24-006 15,91.0,2500.0,4.07,4.06,9.5,10.91622,10.7,0.321584,4.8,0.453,1797.5,75.8,2516.0,99.3,3160.4,150.9,3160.4,150.9,56.9,71.4
MR24-006 18,201.0,18685.0,3.36,12.2619,11.6,1.59523,12.6,0.14193,4.9,0.389,855.6,39.2,968.3,78.6,1234.0,227.8,1234.0,227.8,69.3,88.4
MR24-006 19,161.0,41334.0,1.38,16.1153,9.5,0.82077,16.4,0.095974,13.3,0.814,590.8,75.3,608.5,75.1,675.0,203.9,590.8,75.3,87.5,97.1
MR24-006 27,135.0,83435.0,2.53,14.2537,8.4,1.17048,9.1,0.121056,3.4,0.376,736.6,23.9,786.9,49.9,932.1,173.2,736.6,23.9,79.0,93.6
MR24-006 32,16.0,10300.0,3.16,16.9933,5.8,0.81875,9.3,0.100954,7.3,0.783,620.0,43.2,607.4,42.6,560.4,126.4,620.0,43.2,110.6,102.1
MR24-006 39,265.0,2500.0,25.64,8.5234,21.4,2.2361,21.6,0.138292,3.0,0.138,835.0,23.3,1192.4,151.9,1915.0,385.2,1915.0,385.2,43.6,70.0
MR24-006 42,300.0,239265.0,5.93,15.2727,1.3,1.24084,3.2,0.137507,3.0,0.914,830.5,23.0,819.3,18.2,788.7,27.5,830.5,23.0,105.3,101.4
MR24-006 52,171.0,2500.0,1.31,4.2968,13.6,3.10769,14.3,0.096889,4.3,0.304,596.2,24.7,1434.6,109.8,3070.2,217.6,3070.2,217.6,19.4,41.6
MR24-006 56,249.0,23463.0,1.32,12.7225,3.5,1.16994,5.4,0.108002,4.2,0.763,661.1,26.1,786.6,29.8,1161.2,69.8,1161.2,69.8,56.9,84.0
MR24-006 62,314.0,269366.0,3.71,7.9563,1.5,4.69389,3.2,0.27098,2.8,0.884,1545.8,38.4,1766.2,26.5,2037.7,26.2,2037.7,26.2,75.9,87.5
MR24-006 63,108.0,92339.0,4.24,14.1984,4.8,0.9958,5.8,0.10259,3.2,0.555,629.6,19.2,701.7,29.3,940.0,98.6,629.6,19.2,67.0,89.7
MR24-006 65,77.0,2500.0,1.99,6.8767,10.4,2.0505,13.2,0.102314,8.2,0.619,628.0,49.0,1132.5,90.3,2291.9,178.6,2291.9,178.6,27.4,55.5
MR24-006 72,84.0,2500.0,2.81,5.471,3.2,8.06495,5.3,0.320157,4.3,0.806,1790.5,67.4,2238.3,48.3,2677.5,52.4,2677.5,52.4,66.9,80.0
MR24-006 74,125.0,20944.0,2.94,11.8568,6.0,1.61558,7.1,0.138991,3.7,0.524,839.0,29.2,976.3,44.4,1299.5,117.2,1299.5,117.2,64.6,85.9
MR24-006 81,95.0,14996.0,2.21,10.6794,5.9,1.35127,8.1,0.104708,5.6,0.69,641.9,34.2,868.1,47.3,1500.0,110.8,1500.0,110.8,42.8,73.9
MR24-006 83,328.0,2500.0,86.14,6.5003,44.0,1.56545,44.5,0.073835,6.3,0.141,459.2,27.8,956.6,277.4,2388.3,760.0,2388.3,760.0,19.2,48.0
MR24-006 88,37.0,18531.0,125248.2,11.5624,8.1,1.19761,9.2,0.100475,4.5,0.487,617.2,26.5,799.5,51.2,1348.2,155.8,1348.2,155.8,45.8,77.2
MR24-006 89,473.0,2500.0,21.38,4.6569,8.4,3.69905,9.2,0.124991,3.8,0.411,759.2,27.1,1571.2,73.5,2940.9,135.3,2940.9,135.3,25.8,48.3
MR24-006 98,41.0,2500.0,1.81,7.9042,26.8,2.27125,27.9,0.130262,7.8,0.28,789.4,58.2,1203.4,197.6,2049.3,475.9,2049.3,475.9,38.5,65.6
MR24-006 102,306.0,2500.0,3.7,6.9774,28.3,2.32473,28.6,0.117696,3.8,0.133,717.3,25.8,1219.9,203.4,2266.9,490.7,2266.9,490.7,31.6,58.8
MR24-006 103,225.0,2500.0,1.44,2.264,37.9,7.71027,38.2,0.126659,4.4,0.115,768.8,32.0,2197.8,346.7,4056.8,571.6,4056.8,571.6,19.0,35.0
MR24-006 104,184.0,44108.0,1.74,14.1589,2.1,1.09612,4.6,0.112611,4.1,0.889,687.9,26.6,751.5,24.3,945.7,43.0,687.9,26.6,72.7,91.5
MR24-006 109,335.0,2500.0,2.49,5.2504,63.5,2.05721,64.5,0.078373,11.1,0.173,486.4,52.2,1134.7,447.9,2745.4,1075.9,2745.4,1075.9,17.7,42.9
MR24-006 120,145.0,2500.0,1.2,2.8322,84.6,8.29364,86.7,0.170438,19.2,0.221,1014.5,180.1,2263.6,829.2,500.0,1.0,1014.5,180.1,202.9,44.8
MR24-006 123,389.0,2500.0,4.05,4.534,21.5,10.85017,22.2,0.356954,5.5,0.249,1967.7,93.9,2510.4,207.4,2984.0,347.6,2984.0,347.6,65.9,78.4
MR24-006 131,138.0,33623.0,2.36,9.889,7.5,2.72522,9.0,0.195545,5.1,0.561,1151.3,53.3,1335.4,66.9,1644.0,138.4,1644.0,138.4,70.0,86.2
MR24-006 132,182.0,2500.0,1.42,10.8359,10.6,1.26178,11.1,0.099207,3.4,0.31,609.8,20.0,828.7,62.9,1472.4,200.6,1472.4,200.6,41.4,73.6
MR24-006 135,263.0,19071.0,0.92,14.0136,8.6,0.97861,9.2,0.099507,3.4,0.368,611.5,19.8,692.9,46.3,966.8,174.9,611.5,19.8,63.2,88.3
MR24-006 137,445.0,2500.0,3.44,3.5083,4.3,5.95193,5.7,0.151515,3.7,0.653,909.4,31.7,1968.8,49.7,3390.0,67.4,3390.0,67.4,26.8,46.2
MR24-006 138,83.0,45253.0,1.69,16.412,3.0,0.94025,5.0,0.11197,4.0,0.805,684.2,26.2,673.0,24.7,635.8,64.1,684.2,26.2,107.6,101.7
MR24-006 142,366.0,2500.0,5.36,5.2005,19.1,2.83778,19.2,0.107083,2.2,0.113,655.8,13.6,1365.6,144.3,2761.1,313.8,2761.1,313.8,23.8,48.0
MR24-006 143,493.0,2500.0,2.67,5.9682,11.4,6.42467,11.8,0.278218,3.1,0.263,1582.4,43.5,2035.6,103.7,2532.6,191.1,2532.6,191.1,62.5,77.7
MR24-006 144,172.0,2500.0,1.33,11.6021,15.2,1.25201,15.7,0.105399,3.7,0.233,646.0,22.5,824.3,88.5,1341.6,294.9,1341.6,294.9,48.2,78.4
MR24-006 154,465.0,38966.0,4.44,14.3173,5.5,1.10787,6.2,0.115092,3.0,0.476,702.3,19.8,757.1,33.3,922.9,112.9,702.3,19.8,76.1,92.8
MR24-006 157,383.0,36619.0,0.87,15.0767,2.1,0.90405,3.7,0.098899,3.1,0.83,608.0,17.8,653.9,17.8,815.8,43.2,608.0,17.8,74.5,93.0
MR24-006 162,177.0,11830.0,2.47,10.6724,10.2,2.07181,11.0,0.160437,4.0,0.364,959.2,35.5,1139.5,75.1,1501.2,193.0,1501.2,193.0,63.9,84.2
MR24-006 165,16.0,107664.0,1.87,8.895,2.6,4.92448,13.4,0.317834,13.2,0.981,1779.1,204.9,1806.5,113.5,1838.1,47.0,1838.1,47.0,96.8,98.5
MR24-006 169,179.0,121798.0,1.62,16.8346,2.0,0.81733,3.3,0.099837,2.6,0.787,613.5,15.3,606.6,15.1,580.9,44.5,613.5,15.3,105.6,101.1
MR24-006 173,52.0,24020.0,2.42,16.7491,3.9,0.8438,6.7,0.102548,5.5,0.815,629.3,32.7,621.2,31.1,591.9,83.9,629.3,32.7,106.3,101.3
MR24-006 175,193.0,10405.0,12.2,4.403,3.7,15.63939,6.9,0.499641,5.9,0.845,2612.3,125.8,2855.0,66.1,3031.1,59.3,3031.1,59.3,86.2,91.5
MR24-006 178,63.0,2500.0,1.43,3.2783,60.7,8.22899,70.2,0.195743,35.1,0.5,1152.4,370.6,2256.5,657.2,3495.3,966.0,3495.3,966.0,33.0,51.1
MR24-006 179,143.0,12574.0,2.62,12.1708,3.7,1.13469,4.7,0.100205,2.9,0.623,615.6,17.2,770.0,25.3,1248.6,71.8,1248.6,71.8,49.3,79.9
MR24-006 185,115.0,2500.0,2.03,4.3404,5.3,11.90825,7.6,0.375039,5.5,0.723,2053.1,97.2,2597.2,71.7,3054.0,84.6,3054.0,84.6,67.2,79.1
MR24-006 191,124.0,30091.0,1.26,12.4498,11.0,1.24869,11.5,0.1128,3.4,0.297,689.0,22.3,822.8,64.8,1204.1,216.3,1204.1,216.3,57.2,83.7
MR24-006 195,195.0,121832.0,4.0,11.6398,2.2,1.73992,3.9,0.146949,3.2,0.82,883.8,26.3,1023.4,25.1,1335.3,43.0,1335.3,43.0,66.2,86.4
MR24-006 200,29.0,32814.0,1.47,16.6497,5.8,0.90689,8.3,0.109561,6.0,0.72,670.2,38.3,655.4,40.3,604.8,125.4,670.2,38.3,110.8,102.3
MR24-006 202,61.0,82970.0,2.54,16.9328,3.6,0.84852,6.0,0.104252,4.7,0.792,639.3,28.8,623.8,27.9,568.2,79.3,639.3,28.8,112.5,102.5
MR24-006 203,38.0,17100.0,1.43,16.7952,5.0,0.84607,7.2,0.103106,5.1,0.714,632.6,30.9,622.5,33.4,586.0,109.1,632.6,30.9,108.0,101.6
MR24-006 210,45.0,2500.0,2.13,3.315,20.4,5.33712,26.6,0.128377,17.1,0.643,778.6,125.3,1874.8,228.3,3478.0,316.4,3478.0,316.4,22.4,41.5
MR24-006 219,76.0,40387.0,2.59,20.1891,5.0,0.28962,8.2,0.042426,6.5,0.793,267.9,17.0,258.3,18.6,172.0,116.1,267.9,17.0,155.8,103.7
MR24-006 224,237.0,2500.0,6.91,9.7632,6.6,1.9407,8.0,0.137482,4.6,0.577,830.4,36.0,1095.2,53.7,1667.7,121.2,1667.7,121.2,49.8,75.8
MR24-006 231,59.0,13566.0,0.84,10.1887,14.6,1.62232,15.3,0.119936,4.4,0.29,730.2,30.6,978.9,96.0,1588.4,273.6,1588.4,273.6,46.0,74.6
MR24-006 232,220.0,115743.0,3.49,14.7148,5.4,0.96044,6.4,0.102546,3.3,0.517,629.3,19.7,683.5,31.6,866.4,112.7,629.3,19.7,72.6,92.1
MR24-006 233,98.0,18251.0,4.25,12.9146,9.7,1.12799,10.6,0.105702,4.2,0.398,647.7,25.9,766.8,56.9,1131.4,193.1,647.7,25.9,57.2,84.5
MR24-006 234,192.0,179110.0,9.22,10.0412,1.9,2.89225,3.5,0.210726,3.0,0.849,1232.7,33.5,1379.9,26.5,1615.6,34.6,1615.6,34.6,76.3,89.3
MR24-006 239,198.0,2500.0,11.57,6.7346,31.6,2.40133,31.9,0.117344,4.2,0.13,715.3,28.1,1243.0,229.7,2327.8,545.6,2327.8,545.6,30.7,57.5
MR24-006 241,185.0,2500.0,1.88,6.0193,5.9,8.96756,6.8,0.391665,3.4,0.495,2130.5,61.2,2334.7,62.2,2518.3,99.5,2518.3,99.5,84.6,91.3
MR24-006 242,48.0,2500.0,1.71,5.0302,7.0,8.66863,9.3,0.316398,6.1,0.66,1772.1,94.8,2303.8,84.5,2815.6,113.8,2815.6,113.8,62.9,76.9
MR24-006 253,83.0,65083.0,1.07,14.1319,2.7,1.69335,3.8,0.173637,2.8,0.716,1032.1,26.3,1006.0,24.6,949.6,55.0,949.6,55.0,108.7,102.6
MR24-006 254,72.0,2500.0,1.52,3.7758,13.1,12.06906,14.6,0.330652,6.4,0.441,1841.5,103.2,2609.8,137.1,3275.1,206.2,3275.1,206.2,56.2,70.6
MR24-006 259,130.0,125693.0,5.11,15.0003,5.4,0.9564,6.8,0.104096,4.1,0.605,638.4,24.8,681.4,33.5,826.4,112.2,638.4,24.8,77.3,93.7
MR24-006 261,65.0,263056.0,2.45,16.5899,3.4,0.88628,5.8,0.106686,4.7,0.812,653.5,29.2,644.4,27.6,612.6,72.9,653.5,29.2,106.7,101.4
MR24-006 266,185.0,37301.0,9.4,12.2324,3.0,1.78739,4.6,0.158645,3.6,0.771,949.2,31.6,1040.9,30.2,1238.6,58.0,1238.6,58.0,76.6,91.2
MR24-006 269,372.0,12496.0,3.94,11.8624,8.1,1.24191,8.6,0.106895,2.6,0.308,654.7,16.4,819.7,48.1,1298.6,158.2,1298.6,158.2,50.4,79.9
MR24-006 273,239.0,214697.0,4.19,4.5732,1.4,13.39298,3.9,0.444422,3.7,0.936,2370.4,73.3,2707.8,37.3,2970.1,22.4,2970.1,22.4,79.8,87.5
MR24-006 274,232.0,2500.0,3.77,5.3593,4.9,2.68333,11.1,0.104346,9.9,0.897,639.8,60.4,1323.9,81.9,2711.6,80.6,2711.6,80.6,23.6,48.3
MR24-006 281,393.0,2500.0,2.14,5.3217,23.0,2.92219,23.7,0.112838,5.6,0.238,689.2,36.9,1387.7,179.8,2723.2,380.8,2723.2,380.8,25.3,49.7
MR24-006 283,126.0,2500.0,2.04,6.203,10.0,7.42802,10.7,0.334323,3.8,0.351,1859.3,60.7,2164.4,95.9,2467.6,169.5,2467.6,169.5,75.3,85.9
MR24-006 284,17.0,2500.0,1.65,18.4966,13.7,0.80792,16.1,0.108431,8.4,0.522,663.6,52.8,601.3,72.9,372.7,308.6,663.6,52.8,178.1,110.4
MR24-006 285,407.0,2500.0,2.08,3.8172,17.4,2.31346,24.9,0.064076,17.9,0.718,400.4,69.5,1216.4,177.2,3257.9,273.8,3257.9,273.8,12.3,32.9
MR24-006 294,65.0,23107.0,2.9,12.5321,9.1,1.11942,10.0,0.101791,4.2,0.416,624.9,24.8,762.7,53.7,1191.0,179.9,1191.0,179.9,52.5,81.9
MR24-006 303,47.0,14210.0,1.7,6.4132,8.0,7.06084,11.3,0.32857,7.9,0.704,1831.4,126.3,2119.1,100.2,2411.2,135.9,2411.2,135.9,76.0,86.4
MR24-006 304,230.0,2500.0,2.11,9.4361,5.1,1.50068,6.0,0.102748,3.1,0.514,630.5,18.4,930.7,36.4,1730.5,94.1,1730.5,94.1,36.4,67.7
MR24-006 311,23.0,11753.0,1.75,5.3469,4.0,8.49534,7.7,0.329591,6.6,0.854,1836.4,104.8,2285.4,69.8,2715.4,66.0,2715.4,66.0,67.6,80.4
MR24-006 315,76.0,93582.0,2.22,15.4546,4.1,0.88048,6.7,0.098735,5.3,0.793,607.0,30.7,641.2,31.8,763.8,85.7,607.0,30.7,79.5,94.7
,,,,,,,,,,,,,,,,,,,,
JB2 (MR24-008),,,,,,,,,,,,,,,,,,,,
MR24-008 1,274,30254,2.48,19.6798,3.0,0.30543,5.0,0.043614,4.0,0.797,275.2,10.8,270.6,11.9,231.3,69.9,275.2,10.8,119.0,101.7
MR24-008 2,777,152408,2.45,16.5947,2.0,0.85806,3.2,0.103319,2.5,0.786,633.8,15.2,629.1,15.0,611.9,42.7,633.8,15.2,103.6,100.7
MR24-008 5,114,1115270,1.89,7.7953,1.9,6.47006,4.4,0.365962,4.0,0.905,2010.4,68.2,2041.8,38.4,2073.8,32.8,2073.8,32.8,96.9,98.5
MR24-008 6,232,507339,1.39,7.7609,1.9,6.51782,4.3,0.367037,3.9,0.901,2015.4,66.6,2048.3,37.6,2081.5,32.6,2081.5,32.6,96.8,98.4
MR24-008 7,148,29198,2.73,16.5912,3.0,0.78634,4.2,0.094663,3.0,0.708,583.1,16.7,589.1,19.0,612.4,64.7,583.1,16.7,95.2,99.0
MR24-008 8,221,251688,2.47,5.6325,1.9,11.98607,3.6,0.48986,3.1,0.861,2570.1,66.4,2603.3,34.1,2629.3,30.8,2629.3,30.8,97.7,98.7
MR24-008 9,114,105251,2.06,7.8373,2.1,6.48859,5.3,0.368987,4.8,0.915,2024.6,83.9,2044.4,46.4,2064.3,37.4,2064.3,37.4,98.1,99.0
MR24-008 12,96,842981,4.15,7.716,2.1,6.90031,6.1,0.386327,5.8,0.941,2105.8,103.4,2098.7,54.2,2091.8,36.3,2091.8,36.3,100.7,100.3
MR24-008 13,622,10240,2.08,11.1598,13.1,1.20237,13.5,0.097362,3.2,0.238,598.9,18.3,801.7,74.8,1416.3,250.8,1416.3,250.8,42.3,74.7
MR24-008 14,48,82491,1.44,4.3476,1.8,18.69073,7.5,0.58962,7.3,0.97,2987.9,174.4,3026.0,72.5,3051.4,29.0,3051.4,29.0,97.9,98.7
MR24-008 15,506,1253672,3.48,16.8067,2.1,0.76927,3.5,0.093811,2.9,0.809,578.0,15.8,579.3,15.6,584.5,45.2,578.0,15.8,98.9,99.8
MR24-008 16,300,153547,10.9,6.976,2.1,8.31378,5.1,0.420825,4.6,0.908,2264.2,88.5,2265.8,46.3,2267.2,36.9,2267.2,36.9,99.9,99.9
MR24-008 18,176,100507,1.93,16.3392,2.7,0.85373,4.8,0.101215,3.9,0.823,621.5,23.3,626.7,22.3,645.4,58.2,621.5,23.3,96.3,99.2
MR24-008 19,115,68354,1.19,8.0585,1.8,6.25552,4.0,0.365771,3.6,0.896,2009.5,62.0,2012.2,35.1,2015.1,31.6,2015.1,31.6,99.7,99.9
MR24-008 20,181,29487,2.8,16.1953,3.4,0.89474,6.3,0.105143,5.3,0.844,644.5,32.4,648.9,30.0,664.4,72.0,644.5,32.4,97.0,99.3
MR24-008 21,104,20571,2.66,16.4727,3.8,0.83067,5.6,0.099286,4.0,0.726,610.2,23.6,614.0,25.7,627.9,82.7,610.2,23.6,97.2,99.4
MR24-008 22,52,26820,2.54,13.4538,3.1,1.90996,7.3,0.186451,6.6,0.903,1102.1,66.9,1084.6,48.8,1049.5,63.4,1049.5,63.4,105.0,101.6
MR24-008 24,261,166125,7.21,7.9032,1.6,6.32708,3.9,0.362827,3.6,0.912,1995.6,61.0,2022.2,34.2,2049.5,28.3,2049.5,28.3,97.4,98.7
MR24-008 25,86,40433,40.01,15.4461,2.8,1.11204,7.3,0.124634,6.8,0.922,757.2,48.3,759.2,39.2,765.0,60.0,757.2,48.3,99.0,99.7
MR24-008 26,256,495167,2.5,6.3847,1.4,9.15339,3.5,0.424049,3.2,0.915,2278.8,61.5,2353.5,32.0,2418.8,23.9,2418.8,23.9,94.2,96.8
MR24-008 27,170,14230,3.43,19.3809,4.8,0.29897,6.9,0.042043,4.9,0.717,265.5,12.8,265.6,16.1,266.6,110.0,265.5,12.8,99.6,100.0
MR24-008 28,83,16657,2.73,16.7219,3.6,0.79293,6.4,0.096209,5.4,0.834,592.2,30.4,592.8,28.9,595.4,77.1,592.2,30.4,99.5,99.9
MR24-008 29,94,34785,2.09,16.5603,3.9,0.83311,5.7,0.100107,4.1,0.718,615.0,23.8,615.3,26.1,616.4,84.9,615.0,23.8,99.8,100.0
MR24-008 30,42,1500,1.98,9.5518,10.6,4.43322,11.2,0.307254,3.6,0.32,1727.2,54.4,1718.6,92.9,1708.1,195.6,1708.1,195.6,101.1,100.5
MR24-008 32,106,40309,1.61,13.4627,2.8,1.84536,4.4,0.180264,3.4,0.776,1068.4,33.8,1061.8,29.1,1048.2,56.1,1048.2,56.1,101.9,100.6
MR24-008 33,160,1120911,2.64,7.6143,1.8,6.84291,5.7,0.378064,5.4,0.947,2067.2,95.4,2091.3,50.5,2115.0,32.1,2115.0,32.1,97.7,98.8
MR24-008 34,136,87620,3.01,16.7138,3.4,0.79208,4.7,0.096058,3.3,0.706,591.3,18.9,592.3,21.3,596.5,72.7,591.3,18.9,99.1,99.8
MR24-008 35,279,29604,2.96,19.7562,3.9,0.29901,4.8,0.042863,2.8,0.585,270.6,7.5,265.6,11.3,222.4,90.7,270.6,7.5,121.7,101.9
MR24-008 36,28,27897,1.11,8.1153,2.7,5.94863,7.6,0.350281,7.2,0.937,1935.9,119.6,1968.4,66.4,2002.6,47.2,2002.6,47.2,96.7,98.3
MR24-008 37,43,119015,2.64,16.281,5.8,0.88175,8.4,0.104165,6.0,0.719,638.8,36.7,641.9,39.9,653.0,125.2,638.8,36.7,97.8,99.5
MR24-008 38,249,110024,0.98,7.8875,1.5,6.54107,3.9,0.374352,3.6,0.918,2049.8,62.8,2051.4,34.3,2053.0,27.2,2053.0,27.2,99.8,99.9
MR24-008 39,36,41735,1.92,11.0113,3.2,3.15939,5.6,0.252427,4.7,0.828,1451.0,60.6,1447.3,43.5,1441.9,60.3,1441.9,60.3,100.6,100.3
